id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
8,ANYN,medium_airport,Nauru International Airport,-0.547893,166.919525,22.0,OC,NR,NR-14,Yaren,yes,ANYN,INU,ANYN,,https://www.nauruair.com/,https://en.wikipedia.org/wiki/Nauru_International_Airport,"Nauru, Yaren District, Naero"
31697,BGAA,medium_airport,Aasiaat Airport,68.721802,-52.784698,74.0,,GL,GL-QK,Aasiaat,yes,BGAA,JEG,BGAA,,http://airgreenland.com/om_rejsen/efter_rejsen/din_destination_/aasiaat/,https://en.wikipedia.org/wiki/Aasiaat_Airport,"Mittarfik Aasiaat, Aasiaat Lufthavn, Egedesminde"
114,BGGH,large_airport,Nuuk International Airport,64.191066,-51.67914,283.0,,GL,GL-SE,Nuuk,yes,BGGH,GOH,BGGH,,https://www.airports.gl/en/airport/nuuk/,https://en.wikipedia.org/wiki/Nuuk_Airport,"Godthåb, Nuussuaq, Mittarfik Nuuk, Nuuk International"
31694,BGJN,medium_airport,Ilulissat Airport,69.243202,-51.057098,95.0,,GL,GL-AV,Ilulissat,yes,BGJN,JAV,BGJN,,https://mit.gl/ilulissat,https://en.wikipedia.org/wiki/Ilulissat_Airport,"Mittarfik Ilulissat, Ilulissat Lufthavn, Jakobshavn"
31700,BGSS,medium_airport,Sisimiut Airport,66.951302,-53.729301,33.0,,GL,GL-QA,Sisimiut,yes,BGSS,JHS,BGSS,,https://www.mit.gl/en/todays-flights/airports/sisimiut-airport/,https://en.wikipedia.org/wiki/Sisimiut_Airport,
117,BIAR,large_airport,Akureyri International Airport,65.656573,-18.072018,6.0,EU,IS,IS-6,Akureyri,yes,BIAR,AEY,BIAR,,https://www.innanlandsflugvellir.is/en/akureyri-airport/,https://en.wikipedia.org/wiki/Akureyri_Airport,
31549,BIGR,medium_airport,Grímsey Airport,66.5458,-18.0173,66.0,EU,IS,IS-6,Grímsey/Sandvík,yes,BIGR,GRY,BIGR,,https://www.innanlandsflugvellir.is/en/grimsey-airport,https://en.wikipedia.org/wiki/Gr%C3%ADmsey_Airport,Sandvík
122,BIIS,medium_airport,Ísafjörður Airport,66.058098,-23.1353,8.0,EU,IS,IS-4,Ísafjörður,yes,BIIS,IFJ,BIIS,,https://www.isavia.is/en/isafjordur-airport,https://en.wikipedia.org/wiki/%C3%8Dsafj%C3%B6r%C3%B0ur_Airport,
123,BIKF,large_airport,Keflavik International Airport,63.985001,-22.6056,171.0,EU,IS,IS-2,Reykjavík,yes,BIKF,KEF,BIKF,,https://www.isavia.is/en/keflavik-airport,https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport,"Keflavik Naval Air Station, REK"
4614,BKPR,large_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,BKPR,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base"
643,CAT4,medium_airport,Qualicum Beach Airport,49.337456,-124.393086,191.0,,CA,CA-BC,Qualicum Beach,yes,,XQU,CAT4,CAT4,http://www.qualicumbeach.com/cms.asp?wpID=437,https://en.wikipedia.org/wiki/Qualicum_Beach_Airport,AT4
1657,CYAM,medium_airport,Sault Ste Marie Airport,46.483216,-84.508467,630.0,,CA,CA-ON,Sault Ste Marie,yes,CYAM,YAM,CYAM,,http://www.saultairport.com/,https://en.wikipedia.org/wiki/Sault_Ste._Marie_Airport,
1666,CYAZ,medium_airport,Tofino / Long Beach Airport,49.079833,-125.775583,80.0,,CA,CA-BC,Tofino,yes,CYAZ,YAZ,CYAZ,,http://www.acrd.bc.ca/long-beach-airport,https://en.wikipedia.org/wiki/Tofino_Airport,
1672,CYBF,medium_airport,Bonnyville Airport,54.304199,-110.744003,1836.0,,CA,CA-AB,Bonnyville,yes,CYBF,YBY,CYBF,,http://town.bonnyville.ab.ca/livingin/airport/index.html,https://en.wikipedia.org/wiki/Bonnyville_Airport,YBF
1687,CYCD,medium_airport,Nanaimo Airport,49.05497,-123.869863,92.0,,CA,CA-BC,Nanaimo,yes,CYCD,YCD,CYCD,,https://www.ycd.ca/,https://en.wikipedia.org/wiki/Nanaimo_Airport,
1689,CYCG,medium_airport,Castlegar/West Kootenay Regional Airport,49.296398,-117.632004,1624.0,,CA,CA-BC,Castlegar,yes,CYCG,YCG,CYCG,,https://www.wkrairport.ca/,https://en.wikipedia.org/wiki/Castlegar_Airport,
1706,CYDF,medium_airport,Deer Lake Airport,49.208159,-57.396147,72.0,,CA,CA-NL,Deer Lake,yes,CYDF,YDF,CYDF,,https://deerlakeairport.com/,https://en.wikipedia.org/wiki/Deer_Lake_Airport_(Newfoundland),
1717,CYEG,large_airport,Edmonton International Airport,53.3097,-113.580002,2373.0,,CA,CA-AB,Edmonton,yes,CYEG,YEG,CYEG,CYEG,http://www.edmontonairports.com/,https://en.wikipedia.org/wiki/Edmonton_International_Airport,
1763,CYHM,medium_airport,John C. Munro Hamilton International Airport,43.17348,-79.931185,780.0,,CA,CA-ON,Hamilton,yes,CYHM,YHM,CYHM,,http://www.flyhi.ca/,https://en.wikipedia.org/wiki/Hamilton/John_C._Munro_International_Airport,Mount Hope Airport
1768,CYHU,medium_airport,Montréal / Saint-Hubert Metropolitan Airport,45.517502,-73.416901,90.0,,CA,CA-QC,Montréal,yes,CYHU,YHU,CYHU,,http://www.dashl.ca/,https://en.wikipedia.org/wiki/Montr%C3%A9al/St-Hubert_Airport,
1770,CYHZ,large_airport,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276,477.0,,CA,CA-NS,Halifax,yes,CYHZ,YHZ,CYHZ,,http://www.hiaa.ca/,https://en.wikipedia.org/wiki/Halifax_International_Airport,Robert L. Stanfield International Airport
1783,CYJT,medium_airport,Stephenville Dymond International Airport,48.54339,-58.552892,84.0,,CA,CA-NL,Stephenville,yes,CYJT,YJT,CYJT,,https://cyjt.com/,https://en.wikipedia.org/wiki/Stephenville_Airport,Ernest Harmon AFB
1787,CYKF,medium_airport,Region of Waterloo International Airport,43.4608,-80.378601,1054.0,,CA,CA-ON,Breslau,yes,CYKF,YKF,CYKF,,http://www.waterlooairport.ca/,https://en.wikipedia.org/wiki/Region_of_Waterloo_International_Airport,"Breslau, Kitchener, Waterloo, Cambridge, YKF"
1293,CYLS,medium_airport,Barrie-Lake Simcoe Regional Airport,44.485056,-79.554663,972.0,,CA,CA-ON,Barrie,yes,CYLS,YLK,CYLS,CYLS,http://www.lakesimcoeairport.com/,https://en.wikipedia.org/wiki/Barrie-Orillia_(Lake_Simcoe_Regional)_Airport,"NB9, CNB9, Oro Station"
1808,CYLW,large_airport,Kelowna International Airport,49.9561,-119.377998,1421.0,,CA,CA-BC,Kelowna,yes,CYLW,YLW,CYLW,,http://www.kelowna.ca/CM/Page68.aspx,https://en.wikipedia.org/wiki/Kelowna_International_Airport,"Kelowna, Okanagan"
1824,CYND,medium_airport,Ottawa / Gatineau Airport,45.521702,-75.563599,211.0,,CA,CA-QC,Gatineau,yes,CYND,YND,CYND,CYND,http://www.ego-airport.ca/english/propos_ego/,https://en.wikipedia.org/wiki/Ottawa-Gatineau_Airport,YND
1840,CYOW,large_airport,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,374.0,,CA,CA-ON,Ottawa,yes,CYOW,YOW,CYOW,YOW,https://yow.ca/,https://en.wikipedia.org/wiki/Ottawa_Macdonald%E2%80%93Cartier_International_Airport,"Uplands, UUP, CUUP"
1854,CYPQ,medium_airport,Peterborough Regional Airport,44.232251,-78.362053,628.0,,CA,CA-ON,Peterborough,yes,CYPQ,YPQ,CYPQ,,https://www.peterborough.ca/business-building-development/airport/,https://en.wikipedia.org/wiki/Peterborough_Airport,
1855,CYPR,medium_airport,Prince Rupert Airport,54.2860984802,-130.445007324,116.0,,CA,CA-BC,Prince Rupert,yes,CYPR,YPR,CYPR,,http://www.ypr.ca/,https://en.wikipedia.org/wiki/Prince_Rupert_Airport,
1864,CYQB,large_airport,Quebec Jean Lesage International Airport,46.7911,-71.393303,244.0,,CA,CA-QC,Quebec,yes,CYQB,YQB,CYQB,YQB,http://www.aeroportdequebec.com/,https://en.wikipedia.org/wiki/Qu%C3%A9bec/Jean_Lesage_International_Airport,Quebec City
1872,CYQM,medium_airport,Greater Moncton Roméo LeBlanc International Airport,46.113189,-64.67719,232.0,,CA,CA-NB,Moncton,yes,CYQM,YQM,CYQM,,https://cyqm.ca/,https://en.wikipedia.org/wiki/Greater_Moncton_International_Airport,"CYQM, YQM, Moncton"
1874,CYQQ,medium_airport,Comox Valley International Airport / CFB Comox,49.7108,-124.887001,84.0,,CA,CA-BC,Comox,yes,CYQQ,YQQ,CYQQ,,https://comoxairport.com,https://en.wikipedia.org/wiki/CFB_Comox,CFB Comox
1878,CYQU,medium_airport,Grande Prairie Airport,55.1796989441,-118.885002136,2195.0,,CA,CA-AB,Grande Prairie,yes,CYQU,YQU,CYQU,,http://www.grandeprairieairport.com/,https://en.wikipedia.org/wiki/Grande_Prairie_Airport,
1882,CYQY,medium_airport,Sydney / J.A. Douglas McCurdy Airport,46.161072,-60.049759,203.0,,CA,CA-NS,Sydney,yes,CYQY,YQY,CYQY,,https://www.sydneyairport.ca/,https://en.wikipedia.org/wiki/Sydney/J.A._Douglas_McCurdy_Airport,
1891,CYRO,medium_airport,Ottawa / Rockcliffe Airport,45.460496,-75.644001,188.0,,CA,CA-ON,Ottawa,yes,CYRO,YRO,CYRO,CYRO,http://www.rfc.ca/,https://en.wikipedia.org/wiki/Ottawa/Rockcliffe_Airport,YRO
1925,CYTS,medium_airport,Timmins/Victor M. Power,48.5696983337,-81.376701355,967.0,,CA,CA-ON,Timmins,yes,CYTS,YTS,CYTS,,http://portal.timmins.ca/portal/en/timmins/residents/airport,https://en.wikipedia.org/wiki/Timmins_Airport,Timmins Victor M. Power Airport
1926,CYTZ,medium_airport,Billy Bishop Toronto City Airport,43.627852,-79.39553,252.0,,CA,CA-ON,Toronto,yes,CYTZ,YTZ,CYTZ,,https://www.billybishopairport.com/,https://en.wikipedia.org/wiki/Billy_Bishop_Toronto_City_Airport,"YTO, Toronto Island Airport"
1928,CYUL,large_airport,Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,118.0,,CA,CA-QC,Montréal,yes,CYUL,YUL,CYUL,YUL,http://www.admtl.com/passager/Home.aspx,https://en.wikipedia.org/wiki/Montréal–Trudeau_International_Airport,"YMQ, Dorval Airport"
1938,CYVO,medium_airport,Val-d'Or Airport,48.0532989502,-77.7827987671,1107.0,,CA,CA-QC,Val-d'Or,yes,CYVO,YVO,CYVO,,http://www.arvo.qc.ca/,https://en.wikipedia.org/wiki/Val-d'Or_Airport,
1941,CYVR,large_airport,Vancouver International Airport,49.193901,-123.183998,14.0,,CA,CA-BC,Vancouver,yes,CYVR,YVR,CYVR,,http://www.yvr.ca/,https://en.wikipedia.org/wiki/Vancouver_International_Airport,
1943,CYVV,medium_airport,Wiarton Airport,44.7458,-81.107201,729.0,,CA,CA-ON,Wiarton,yes,CYVV,YVV,CYVV,,http://wiartonairport.ca/,https://en.wikipedia.org/wiki/Wiarton_Airport,
1946,CYWG,large_airport,Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,783.0,,CA,CA-MB,Winnipeg,yes,CYWG,YWG,CYWG,YWG,http://www.waa.ca/,https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport,CFB Winnipeg
1955,CYXC,medium_airport,Cranbrook/Canadian Rockies International Airport,49.610802,-115.781998,3082.0,,CA,CA-BC,Cranbrook,yes,CYXC,YXC,CYXC,,https://flycanadianrockies.com/,https://en.wikipedia.org/wiki/Cranbrook/Canadian_Rockies_International_Airport,
1966,CYXS,medium_airport,Prince George (International) Airport,53.884311,-122.666554,2267.0,,CA,CA-BC,Prince George,yes,CYXS,YXS,CYXS,,https://www.pgairport.ca/,https://en.wikipedia.org/wiki/Prince_George_Airport,Prince George International
1968,CYXU,medium_airport,London International Airport,43.032845,-81.149003,912.0,,CA,CA-ON,London,yes,CYXU,YXU,CYXU,,http://www.londonairport.on.ca/,https://en.wikipedia.org/wiki/London_International_Airport,
1969,CYXX,medium_airport,Abbotsford International Airport,49.025299,-122.361,195.0,,CA,CA-BC,Abbotsford,yes,CYXX,YXX,CYXX,,http://www.abbotsfordairport.ca/,https://en.wikipedia.org/wiki/Abbotsford_International_Airport,
1970,CYXY,medium_airport,Whitehorse / Erik Nielsen International Airport,60.708533,-135.065705,2317.0,,CA,CA-YT,Whitehorse,yes,CYXY,YXY,CYXY,,https://yukonairports.ca/about-yxy,https://en.wikipedia.org/wiki/Whitehorse_International_Airport,
1972,CYYB,medium_airport,North Bay Jack Garland Airport,46.363602,-79.422798,1215.0,,CA,CA-ON,North Bay,yes,CYYB,YYB,CYYB,,https://yyb.ca/,https://en.wikipedia.org/wiki/North_Bay/Jack_Garland_Airport,"Jack Garland Airport, CFB North Bay"
1973,CYYC,large_airport,Calgary International Airport,51.118822,-114.009933,3557.0,,CA,CA-AB,Calgary,yes,CYYC,YYC,CYYC,,http://www.calgaryairport.com/,https://en.wikipedia.org/wiki/Calgary_International_Airport,McCall Field
1979,CYYJ,large_airport,Victoria International Airport,48.647201,-123.427792,63.0,,CA,CA-BC,Victoria,yes,CYYJ,YYJ,CYYJ,,http://www.victoriaairport.com/,https://en.wikipedia.org/wiki/Victoria_International_Airport,
1986,CYYT,large_airport,St. John's International Airport,47.618599,-52.7519,461.0,,CA,CA-NL,St. John's,yes,CYYT,YYT,CYYT,,https://www.stjohnsairport.com/,https://en.wikipedia.org/wiki/St._John's_International_Airport,
1990,CYYZ,large_airport,Toronto Pearson International Airport,43.675935,-79.629421,569.0,,CA,CA-ON,Toronto,yes,CYYZ,YYZ,CYYZ,YYZ,http://www.torontopearson.com/,https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport,"YTO, Toronto International Airport, Malton"
1993,CYZF,medium_airport,Yellowknife International Airport,62.462799,-114.440002,675.0,,CA,CA-NT,Yellowknife,yes,CYZF,YZF,CYZF,,https://www.inf.gov.nt.ca/en/services/airports/yellowknife-airport,https://en.wikipedia.org/wiki/Yellowknife_Airport,
